ID,Isconfidential,ProjectName,Street,Latitude,Longitude,City,State,Zipcode,Country,LEEDSystemVersion,PointsAchieved,CertLevel,CertDate,IsCertified,GrossFloorArea,ProjectTypes,RegistrationDate,UnitOfMeasurement
"10748275",No,163 Jefferson Street,163 Jefferson Street,"38.053376","-84.5014829",Lexington,Kentucky,"40508",United States,v2008,,Certified,1/7/2013,Yes,"1653",,11/17/2011,sq ft
"1.00E+09",No,University of Kentucky - Dining Commons,Hilltop Avenue,"38.03147","-84.50205",Lexington,Kentucky,"40506",United States,v2009,"43",Certified,3/9/2020,Yes,"81946",,7/29/2014,sq ft
"1.00E+09",No,Tempur-Pedic Inc Global Headquarters,1000 Tempur Way,"38.0982867","-84.4941134",Lexington,Kentucky,"40511",United States,v2009,"44",Certified,7/28/2014,Yes,"128000",,10/5/2011,sq ft
"1.00E+09",No,Central Hall II,361 Huguelet Dr,"38.0319006","-84.5039237",Lexington,Kentucky,"40526",United States,v2009,"54",Silver,11/9/2014,Yes,"89972",Higher Education,5/22/2012,sq ft
"1.00E+09",No,CMTA Lexington Office Building,2429 Members Way,"43.2153249","-70.9027801",Lexington,Kentucky,"40504",United States,v2009,"81",Platinum,4/16/2015,Yes,"11750",,7/24/2012,sq ft
"10220146",No,Big Ass Fans Phase 1,2348 Innovation Dr,"38.10213","-44.52137",Lexington,Kentucky,,United States,v2.2,"41",Gold,7/7/2009,Yes,"44000",,4/9/2008,sq ft
"1.00E+09",No,Lexmark Center for Children,500 Park Place,"39.2951281","-76.6184101",Lexington,Kentucky,"40511",United States,v2009,"62",Gold,4/15/2014,Yes,"25603",,5/15/2012,sq ft
"1.00E+09",No,Project Triple Crown,767 Winchester Rd,"35.0545933","-90.0384147",Lexington,Kentucky,"40505",United States,v4,"41",Certified,11/19/2020,Yes,"23500",,3/9/2018,sq ft
"1.00E+09",No,UK Student Center Expansion,160 Avenue of Champions,"38.0400127","-84.5032837",Lexington,Kentucky,"40506",United States,v2009,"53",Silver,1/23/2020,Yes,"378686",,5/15/2014,sq ft
"10294580",No,J.M. Smucker Co. Training Center,777 Winchester Road,"34.7940161","-86.5446032",Lexington,Kentucky,"40505",United States,v2.2,"28",Certified,1/27/2011,Yes,"6335",,9/5/2008,sq ft
"10295494",No,"PNC Bank, Hamburg",2235 War Admiral Way,"38.0410541","-84.4272995",Lexington,Kentucky,"40509",United States,v2.1,,Silver,9/8/2008,Yes,"3600",,9/8/2008,sq ft
"1.00E+09",No,Core Rederivation and Barrier Renovation,800 south limestone,"38.03303","-84.50865",Lexington,Kentucky,,United States,v2009,"46",Certified,5/28/2013,Yes,"7840",,11/22/2010,sq ft
"10495568",No,Eastern State Replacement Facility,1350 Bull Lea Rd.,"38.0832305","-84.4980414",Lexington,Kentucky,"40511",United States,v2.2,,Silver,3/18/2014,Yes,"352412",,5/12/2009,sq ft
